StartDate,EndDate,Status,IPAddress,Progress,Durationinseconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q47,gramitem1,gramitem2,TipiDescriptionTime_FirstClick,TipiDescriptionTime_LastClick,TipiDescriptionTime_PageSubmit,TipiDescriptionTime_ClickCount,Tipi1,Tipi2,Tipi3,Tipi4,Tipi5,Tipi6,Tipi7,TIpi8,Tipi9,Tipi10,TipiResponseTime_FirstClick,TipiResponseTime_LastClick,TipiResponseTime_PageSubmit,TipiResponseTime_ClickCount,Articles#1,Articles#1Time_FirstClick,Articles#1Time_LastClick,Articles#1Time_PageSubmit,Articles#1Time_ClickCount,Articles#2,Articles#2Time_FirstClick,Articles#2Time_LastClick,Articles#2Time_PageSubmit,Articles#2Time_ClickCount,Articles#3,Articles#3Time_FirstClick,Articles#3Time_LastClick,Articles#3Time_PageSubmit,Articles#3Time_ClickCount,Articles#4,Articles#4Time_FirstClick,Articles#4Time_LastClick,Articles#4Time_PageSubmit,Articles#4Time_ClickCount,Articles#5,Articles#5Time_FirstClick,Articles#5Time_LastClick,Articles#5Time_PageSubmit,Articles#5Time_ClickCount,Articles#6,Articles#6Time_FirstClick,Articles#6Time_LastClick,Articles#6Time_PageSubmit,Articles#6Time_ClickCount,Articles#7,Articles#7Time_FirstClick,Articles#7Time_LastClick,Articles#7Time_PageSubmit,Articles#7Time_ClickCount,Articles#8,Articles#8Time_FirstClick,Articles#8Time_LastClick,Articles#8Time_PageSubmit,Articles#8Time_ClickCount,Articles#9,Articles#9Time_FirstClick,Articles#9Time_LastClick,Articles#9Time_PageSubmit,Articles#9Time_ClickCount,Articles#10,Articles#10Time_FirstClick,Articles#10Time_LastClick,Articles#10Time_PageSubmit,Articles#10Time_ClickCount,Age,Gender,ZDurationinseconds,rTIPI6,rTIPI2,rTIPI8,rTIPI4,Extrav,Agree,Consc,Open,Neur,PosSelection,NegSelection,NeuSelection,CompSelection,filter_$,xxduco
1/19/2023 13:39:32,1/19/2023 13:40:15,0,128.254.165.118,100,43,1,1/19/2023 13:40:16,R_RV3u3Xr5tz0EPeN, , , , ,40.7434,-73.0761,anonymous,EN,.899999976158142,A24Y5LD7IBGZ3C,4,5,0,0,.877,0,5,6,5,5,5,5,5,4,6,4,0,0,8.401,0,3,0,0,1.977,0,3,0,0,.728,0,4,0,0,.779,0,4,0,0,.944,0,4,0,0,.712,0,2,0,0,.8,0,4,0,0,.862,0,4,0,0,2.052,0,4,0,0,1.155,0,2,0,0,1.308,0,30,1,-.686610628616309,3,2,4,3,4,3.5,4.5,4.5,4.5,0,2,6,2,0,86
1/19/2023 13:52:57,1/19/2023 13:53:41,0,128.254.165.68,100,44,1,1/19/2023 13:53:41,R_3dPLM2OymdA5ifQ, , , , ,40.7434,-73.0761,anonymous,EN,.699999988079071,A1Q6BI8YZ2XSJR,4,5,0,0,.803,0,6,6,6,5,5,4,4,5,6,6,0,0,10.341,0,4,0,0,1.677,0,4,0,0,.868,0,3,0,0,1.221,0,1,0,0,1.13,0,4,0,0,1.043,0,2,0,0,1.189,0,2,0,0,1.184,0,3,0,0,.992,0,4,0,0,1.779,0,1,0,0,1.033,0,30,1,-.684535400783429,4,2,3,3,5,3,4.5,4.5,4.5,2,2,4,2,0,88
1/19/2023 12:54:30,1/19/2023 12:55:16,0,208.194.215.124,100,46,1,1/19/2023 12:55:17,R_2U4oMhll5CNLdZO, , , , ,39.587,-75.6112,anonymous,EN,1,A1R8323OG1JHVD,4,5,0,0,.884,0,7,7,7,7,7,7,7,5,7,7,0,0,6.65,0,1,0,0,1.012,0,1,.473,.473,.927,1,4,.429,.429,.662,1,4,0,0,.935,0,2,.266,.266,.657,1,4,.288,.288,.832,1,3,0,0,.943,0,1,0,0,.94,0,1,.35,.35,.702,1,3,.745,.745,1.184,1,30,1,-.68038494511767,1,1,3,1,4,4,5,4,4,4,1,3,2,0,92
1/19/2023 12:56:50,1/19/2023 12:57:44,0,208.195.161.214,100,54,1,1/19/2023 12:57:45,R_d5nH7JfdenpxFdf, , , , ,38.7913,-77.2806,anonymous,EN,1,A1F6EULP95HD0I,4,5,0,0,.959,0,6,6,6,6,6,6,6,6,6,6,0,0,5.307,0,3,.603,1.411,2.247,3,4,.44,.44,1.529,1,2,.287,.56,1.201,2,4,.3,.3,1.102,1,2,.335,.335,.987,1,4,.217,.217,1.083,1,3,.348,.348,.965,1,1,1.607,1.607,2.503,1,1,.24,.84,1.251,2,2,.273,.273,.804,1,25,1,-.663783122454636,2,2,2,2,4,4,4,4,4,2,3,3,2,0,108
1/19/2023 12:52:55,1/19/2023 12:53:58,0,208.194.201.42,100,63,1,1/19/2023 12:53:59,R_2q1UnACYtC9FlLk, , , , ,37.751,-97.822,anonymous,EN,1,A2K043Q0NUR2I2,4,5,0,0,1.014,0,7,4,5,5,5,5,5,5,5,5,1.59,11.966,13.264,12,4,0,0,2.598,0,4,0,0,1.081,0,2,0,0,1.359,0,3,.741,.741,.9,1,1,.888,.888,1.069,1,3,.785,.785,.927,1,1,.725,.725,.874,1,2,.674,.674,.816,1,4,.645,.645,.789,1,3,.768,.768,.801,1,30,1,-.645106071958722,3,4,3,3,5,4.5,4,4,4,2,2,3,3,0,189
1/19/2023 13:28:31,1/19/2023 13:29:37,0,204.217.236.135,100,66,1,1/19/2023 13:29:38,R_BWklHL57tnqCD6x, , , , ,35.8964,-78.7115,anonymous,EN,.899999976158142,AAF9AAO0CCKCS,4,5,0,0,1.071,0,6,6,6,6,6,6,5,6,6,6,0,0,6.072,0,1,.945,.945,1.642,1,4,.225,.225,.807,1,4,.11,.732,1.175,2,4,.349,.349,1.25,1,3,.243,.243,.994,1,4,.215,.215,.9,1,2,.283,.283,.926,1,1,5.031,5.28,5.979,2,3,0,0,.993,1,3,.093,1.437,2.427,3,25,1,-.638880388460084,2,2,2,2,4,3.5,4,4,4,2,1,4,3,0,198
1/19/2023 13:33:50,1/19/2023 13:34:58,0,128.254.164.87,100,67,1,1/19/2023 13:34:59,R_3NJmKFR1bKHvj0L, , , , ,40.7434,-73.0761,anonymous,EN,.600000023841858,A38K00Z4S2BHDE,4,5,0,0,1.309,0,4,5,4,5,4,3,2,2,3,4,3.224,20.742,26.2,14,3,1.336,1.336,3.018,1,2,0,0,1.222,0,1,0,0,1.813,0,3,0,0,1.08,0,3,0,0,.992,0,1,0,0,1.049,0,3,0,0,1.061,0,2,0,0,1.015,0,2,0,0,.966,0,2,0,0,.972,0,30,1,-.636805160627204,5,3,6,3,4.5,2.5,5,3,3,2,4,0,4,0,268
1/19/2023 12:58:19,1/19/2023 12:59:27,0,63.160.189.144,100,67,1,1/19/2023 12:59:27,R_2anPFCOxQg65Lyk, , , , ,34.0014,-84.0144,anonymous,EN,.899999976158142,A22ZN8OII73DOO,4,5,0,0,1.453,0,6,6,6,7,6,6,6,6,7,6,5.508,5.508,5.897,1,4,.815,.815,1.301,1,4,.085,.085,.979,1,2,.004,.94,1.688,2,1,.095,.095,.835,1,4,.195,.195,.942,1,2,.189,.189,1.082,1,2,.153,.153,.801,1,2,.135,.135,.926,1,3,.038,.038,.992,1,1,.302,.302,.805,1,25,1,-.636805160627204,2,2,2,1,4,4,4,4,4,2,4,3,1,0,67
1/19/2023 12:51:58,1/19/2023 12:53:06,0,128.254.164.159,100,68,1,1/19/2023 12:53:07,R_2BeoEEUt3YCwpcu, , , , ,40.7434,-73.0761,anonymous,EN,.899999976158142,AB7TB6D22L1SP,4,5,0,0,1.013,0,4,5,5,6,6,4,5,5,5,5,0,0,16.455,0,2,12.806,12.806,13.003,1,4,1.604,1.604,1.832,1,1,1.555,1.555,2.33,1,1,1.417,1.417,1.581,1,2,1.115,1.115,1.281,1,3,.878,.878,1.012,1,4,.914,.914,1.072,1,3,.898,2.034,2.821,2,2,0,0,1.019,0,3,0,0,1.276,0,30,1,-.634729932794325,4,3,3,2,4,4,4,3.5,3.5,2,3,2,3,0,204
1/19/2023 13:05:59,1/19/2023 13:07:09,0,185.104.14.158,100,69,1,1/19/2023 13:07:09,R_3sBvoaHkiyWlcHQ, , , , ,35.115,-80.7061,anonymous,EN,.899999976158142,A15SB9KAGZMJ4G,4,5,0,0,1.525,0,3,3,3,7,6,4,6,3,5,6,1.328,18.552,19.337,11,3,.917,.917,1.587,1,2,.837,.837,1.661,1,4,.691,.691,1.316,1,3,.973,.973,1.668,1,2,.615,.615,1.366,1,2,.867,.867,1.61,1,4,.751,.751,1.445,1,4,.597,.597,1.33,1,4,.801,.801,1.656,1,4,.804,.804,1.411,1,25,1,-.632654704961446,4,5,5,1,3.5,5.5,4,3,3,0,3,5,2,0,138
